DateRecorded,VehicleUsed,Event,EnemyVehicle,Distance,OrientationInSight,EnemySpeed,SelfSpeed
2021-08-02, Centurion Mk. 10,k,IS-6,~.01
2021-08-02, Centurion Mk. 10,k,IS-6,.2
2021-08-02, Centurion Mk. 10,k,IS-6,~.1
2021-08-02, Centurion Mk. 10,k,T-44-100,~.06
2021-08-02, Centurion Mk. 10,kb,T-54 (1947),~.01,Near-Para
2021-08-02, Centurion Mk. 10,k,T-44-100
2021-08-02, Centurion Mk. 10,k,PT-76B
2021-08-02, Centurion Mk. 10,kb,T-54 (1949)
2021-08-02, Centurion Mk. 10,kb,T-54 (1949),~.9
2021-08-02, Centurion Mk. 10,k,IS-6,~2.5,Perp
2021-08-02, Centurion Mk. 10,k,T-54 (1949),~1.1,Diag
2021-08-02, Centurion Mk. 10,kb,Obj 268,~1.5,Para
2021-08-02, Centurion Mk. 10,k,T-54 (1947) alex368xela,~.2,Near-Para
2021-08-02, Centurion Mk. 10,k,T-54 (1949),~1,Diag
2021-08-02, Centurion Mk. 10,k,IS-3,~.1
2021-08-02, Centurion Mk. 10,k,Type 63,~0.02,Perp
2021-08-02, Centurion Mk. 10,k,T-44-100,~.3
2021-07-29, Centurion Mk. 10,k,T-44-100,,.33,Perp,0
2021-07-29, Centurion Mk. 10,k,T-54 (1949),.04,Diag,0,0
2021-07-29, Centurion Mk. 10,kb,SU-100,.94,Diag,0,0
2021-07-29, Centurion Mk. 10,k,T-54 (1947),.95,Perp,0,0
2021-07-29, Centurion Mk. 10,k,T-54 (1949),1.13,Near-Para,0,0
2021-07-29, Centurion Mk. 10,k,T-54 (1949),1.33,Perp,0,0
2021-07-29, Centurion Mk. 10,k,PT-76,.22,Diag,16,0
2021-07-29, Centurion Mk. 10,k,Type 63,1.08,Near-Perp,0,0
2021-07-29, Centurion Mk. 10,k,IS-3,1.19,Para,0,0
2021-07-29, Centurion Mk. 10,k,T-54 (1949),~.9,Near-Para
2021-07-29, Centurion Mk. 10,k,T-54 (1949),~0.03,Near-Perp
2021-07-29, Centurion Mk. 10,kb,T-44-100,~.3
2021-07-29, Centurion Mk. 10,k,Type 63,0.01,Diag,4,0
2021-07-29, Centurion Mk. 10,k,Type 62,0.2,Perp
2021-07-29, Centurion Mk. 10,k,T-44-100,~0.03
2021-07-29, Centurion Mk. 10,k,Type 63,~0.1
2021-07-29, Centurion Mk. 10,kb,T-54 (1947),.45,Diag,0,0
2021-07-29, Centurion Mk. 10,k,T-54 (1949),1.18,Near-Para,0,0
2021-07-29, Centurion Mk. 10,k,ASU-85,1.22,Diag,0,0
2021-07-29, Centurion Mk. 10,kb,T-54 (1947),0.01,Diag,21,0
2021-07-27, Centurion Mk. 10,k,T-54 =291= VeryErectus,~1.3,Near-Perp
2021-07-27, Centurion Mk. 10,k,T-54 Dranikk,~1.1,Near-Para
2021-07-21, Centurion Mk. 10,k,IS-6,.5,Diag,0,0
2021-07-21, Centurion Mk. 10,kb,T-54 (1949),.2,Diag,0,0
2021-07-21, Centurion Mk. 10,kb,T-54 (1949),.98,Diag,0,0
2021-07-21, Centurion Mk. 10,k,T-54 (1949),.16,Near-Para,0,0
2021-07-21, Centurion Mk. 10,k,T-54 (1949),.13,Diag,30,0
2021-07-21, Centurion Mk. 10,k,IS-4M,0.1,Diag,-4,13
2021-07-21, Centurion Mk. 10,kb,IS-4M,.89,Diag,0,0
2021-07-17, Centurion Mk. 10,k T-44-100,.03,Diag,0,0
2021-07-17, Centurion Mk. 10,kb,IS-4M,.04,Diag,0,0
2021-07-17, Centurion Mk. 10,k,T-44-100,.2,Diag,0,0
2021-07-17, Centurion Mk. 10,k,IS-3,.6,Diag,0,0
2021-07-17, Centurion Mk. 10,k,ASU-85,.05,Para,0,0
2021-07-17, Centurion Mk. 10,kb,IS-3,.03,Diag,0,0
2021-07-17, Centurion Mk. 10,k,T-44-100,1.52,Diag,0,0
2021-07-17, Centurion Mk. 10,kb,IS-4M,.97,Near-Perp,0,0
2021-07-17, Centurion Mk. 10,Kb T-44-100,.47,Near-Para,0,0
2021-07-17, Centurion Mk. 10,kb,T-44-100,.93,Diag,0,0
2021-07-17, Centurion Mk. 10,k,T-54 (1947),.77,Diag,6,0
2021-07-17, Centurion Mk. 10,k,T-54 (1947),.23,Para,0,0
2021-07-17, Centurion Mk. 10,k,T-44-100,.24,Perp,0,0
2021-07-17, Centurion Mk. 10,kb,T-54 (1949),.97,Near-Para,0,0
2021-07-17, Centurion Mk. 10,k,T-54 (1947),0.92,Perp,33.5,0.0
2021-07-17, Centurion Mk. 10,k,T-54 (1947),.38,Near-Perp,28,33
2021-07-17, Centurion Mk. 10,k,T-54 (1947),.65,Diag,0,0
2021-07-17, Centurion Mk. 10,kb,IS-4M,.08,Diag,0,-4
2021-07-13, Centurion Mk. 10,k,IS-3,.74,Diag,19,-12
